1702833518.201038 client started (15398): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1702833518.201160 on Darwin 22.6.0 Darwin Kernel Version 22.6.0: Wed Jul  5 22:21:53 PDT 2023; root:xnu-8796.141.3~6/RELEASE_ARM64_T6020
1702833518.201201 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1702833518.201232 flags are 0x10010000
1702833518.201242 socket is /private/tmp/tmux-501/default
1702833518.201264 trying connect
1702833518.201413 add peer 0x138048000: 6 (0x0)
1702833518.204580 sending message 100 to peer 0x138048000 (4 bytes)
1702833518.204631 sending message 111 to peer 0x138048000 (8 bytes)
1702833518.204640 sending message 101 to peer 0x138048000 (16 bytes)
1702833518.204648 sending message 109 to peer 0x138048000 (4 bytes)
1702833518.204655 sending message 102 to peer 0x138048000 (13 bytes)
1702833518.204662 sending message 108 to peer 0x138048000 (24 bytes)
1702833518.204668 sending message 112 to peer 0x138048000 (70 bytes)
1702833518.204676 sending message 112 to peer 0x138048000 (5 bytes)
1702833518.204691 sending message 112 to peer 0x138048000 (5 bytes)
1702833518.204698 sending message 112 to peer 0x138048000 (6 bytes)
1702833518.204704 sending message 112 to peer 0x138048000 (6 bytes)
1702833518.204711 sending message 112 to peer 0x138048000 (11 bytes)
1702833518.204717 sending message 112 to peer 0x138048000 (10 bytes)
1702833518.204723 sending message 112 to peer 0x138048000 (13 bytes)
1702833518.204730 sending message 112 to peer 0x138048000 (13 bytes)
1702833518.204736 sending message 112 to peer 0x138048000 (18 bytes)
1702833518.204743 sending message 112 to peer 0x138048000 (11 bytes)
1702833518.204749 sending message 112 to peer 0x138048000 (21 bytes)
1702833518.204755 sending message 112 to peer 0x138048000 (13 bytes)
1702833518.204762 sending message 112 to peer 0x138048000 (7 bytes)
1702833518.204768 sending message 112 to peer 0x138048000 (13 bytes)
1702833518.204781 sending message 112 to peer 0x138048000 (7 bytes)
1702833518.204788 sending message 112 to peer 0x138048000 (13 bytes)
1702833518.204794 sending message 112 to peer 0x138048000 (9 bytes)
1702833518.204801 sending message 112 to peer 0x138048000 (21 bytes)
1702833518.204807 sending message 112 to peer 0x138048000 (13 bytes)
1702833518.204813 sending message 112 to peer 0x138048000 (8 bytes)
1702833518.204820 sending message 112 to peer 0x138048000 (12 bytes)
1702833518.204826 sending message 112 to peer 0x138048000 (13 bytes)
1702833518.204832 sending message 112 to peer 0x138048000 (9 bytes)
1702833518.204839 sending message 112 to peer 0x138048000 (9 bytes)
1702833518.204846 sending message 112 to peer 0x138048000 (12 bytes)
1702833518.204852 sending message 112 to peer 0x138048000 (8 bytes)
1702833518.204858 sending message 112 to peer 0x138048000 (7 bytes)
1702833518.204865 sending message 112 to peer 0x138048000 (7 bytes)
1702833518.204871 sending message 112 to peer 0x138048000 (9 bytes)
1702833518.204877 sending message 112 to peer 0x138048000 (13 bytes)
1702833518.204884 sending message 112 to peer 0x138048000 (9 bytes)
1702833518.204890 sending message 112 to peer 0x138048000 (15 bytes)
1702833518.204897 sending message 112 to peer 0x138048000 (13 bytes)
1702833518.204903 sending message 112 to peer 0x138048000 (12 bytes)
