1702833524.620456 client started (15420): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1702833524.620529 on Darwin 22.6.0 Darwin Kernel Version 22.6.0: Wed Jul  5 22:21:53 PDT 2023; root:xnu-8796.141.3~6/RELEASE_ARM64_T6020
1702833524.620549 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1702833524.623986 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.623990 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.623994 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.623998 sending message 112 to peer 0x130048000 (8 bytes)
1702833524.624002 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624006 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624010 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624014 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624018 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624022 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624026 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624030 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624034 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624038 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624042 sending message 112 to peer 0x130048000 (8 bytes)
1702833524.624046 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624051 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624055 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624059 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624063 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624067 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624081 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624085 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624090 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624094 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624098 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.624102 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624106 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624110 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624114 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624119 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624123 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624127 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624131 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624136 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624140 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624144 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.624148 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624152 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624156 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624160 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624165 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.624169 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.624173 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.624177 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624181 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624185 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624189 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624193 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624197 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624202 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.624206 sending message 112 to peer 0x130048000 (11 bytes)
1702833524.624210 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624214 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624218 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624222 sending message 112 to peer 0x130048000 (12 bytes)
