1702833529.116239 client started (15640): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1702833529.116393 on Darwin 22.6.0 Darwin Kernel Version 22.6.0: Wed Jul  5 22:21:53 PDT 2023; root:xnu-8796.141.3~6/RELEASE_ARM64_T6020
1702833529.116460 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1702833529.116516 flags are 0x18010000
1702833529.116538 socket is /private/tmp/tmux-501/default
1702833529.116560 trying connect
1702833529.116669 add peer 0x140008000: 6 (0x0)
1702833529.119866 sending message 100 to peer 0x140008000 (4 bytes)
1702833529.119891 sending message 111 to peer 0x140008000 (8 bytes)
1702833529.119903 sending message 101 to peer 0x140008000 (10 bytes)
1702833529.119911 sending message 109 to peer 0x140008000 (4 bytes)
1702833529.119919 sending message 102 to peer 0x140008000 (13 bytes)
1702833529.119926 sending message 108 to peer 0x140008000 (24 bytes)
1702833529.119934 sending message 112 to peer 0x140008000 (58 bytes)
1702833529.119943 sending message 112 to peer 0x140008000 (5 bytes)
1702833529.119949 sending message 112 to peer 0x140008000 (5 bytes)
1702833529.119956 sending message 112 to peer 0x140008000 (6 bytes)
1702833529.119963 sending message 112 to peer 0x140008000 (6 bytes)
1702833529.119982 sending message 112 to peer 0x140008000 (10 bytes)
1702833529.119989 sending message 112 to peer 0x140008000 (13 bytes)
1702833529.119996 sending message 112 to peer 0x140008000 (14 bytes)
1702833529.120003 sending message 112 to peer 0x140008000 (19 bytes)
1702833529.120009 sending message 112 to peer 0x140008000 (11 bytes)
1702833529.120015 sending message 112 to peer 0x140008000 (10 bytes)
1702833529.120022 sending message 112 to peer 0x140008000 (15 bytes)
1702833529.120028 sending message 112 to peer 0x140008000 (21 bytes)
1702833529.120035 sending message 112 to peer 0x140008000 (13 bytes)
1702833529.120041 sending message 112 to peer 0x140008000 (7 bytes)
1702833529.120047 sending message 112 to peer 0x140008000 (13 bytes)
1702833529.120053 sending message 112 to peer 0x140008000 (7 bytes)
1702833529.120060 sending message 112 to peer 0x140008000 (13 bytes)
1702833529.120066 sending message 112 to peer 0x140008000 (9 bytes)
1702833529.120072 sending message 112 to peer 0x140008000 (21 bytes)
1702833529.120078 sending message 112 to peer 0x140008000 (13 bytes)
1702833529.120084 sending message 112 to peer 0x140008000 (9 bytes)
1702833529.120091 sending message 112 to peer 0x140008000 (16 bytes)
1702833529.120097 sending message 112 to peer 0x140008000 (13 bytes)
1702833529.120103 sending message 112 to peer 0x140008000 (9 bytes)
